ticker,horizon,variant,baseline,dm_statistic,dm_p_value,mean_loss_diff
QQQ,5,price_only,naive_persistente,5.5769488092572175,4.0517158517161533e-08,0.0004318427006935392
QQQ,5,price_only,arima_garch,6.864328998110226,2.0280443990827735e-11,0.00047915979116347273
QQQ,5,text_only,random_walk,8.483852357501071,2.220446049250313e-16,0.0006386273005226356
QQQ,5,text_only,naive_persistente,6.459399869766206,2.5374324863491893e-10,0.000744206758916735
QQQ,5,text_only,arima_garch,6.931404317483417,1.3189671577151785e-11,0.0007915238493866686
QQQ,5,early_fusion,random_walk,7.7036330169620415,7.394085344003543e-14,0.00019498832591286416
QQQ,5,early_fusion,naive_persistente,3.823443265121555,0.00014857058467621087,0.0003005677843069634
QQQ,5,early_fusion,arima_garch,4.516032992882447,7.902804716852785e-06,0.000347884874776897
QQQ,5,late_fusion,random_walk,5.644752710268121,2.803816312457741e-08,0.0001713767724679575
QQQ,5,late_fusion,naive_persistente,3.5979740743292576,0.0003532857317176674,0.00027695623086205676
